Country,ISO,submission,submission_label,previous_submission,submission_type,submission_type_label,submission_date,indc_submission,indc_submission_label,pa_status,pa_status_label,pa_ratified,pa_ratified_label,pa_ratified_date,pa_withdraw_date,pa_sign,pa_sign_label,pa_sign_date,ndce_ghg,ndce_compare,ndce_status_2020,ndce_status_2020_label,ndce_statement,ndce_source,ndce_date,nz_status,nz_status_label,nz_source,nz_year,nz_year_label,nz_ghg,nz_ghg_label,nz_sec,nz_sec_label,nz_offset,nz_offset_label,nz_ship,nz_ship_label,nz_separate_net_gross,nz_separate_net_gross_label
Ethiopia,ETH,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/23/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,3/9/2017,,Yes,Yes,4/22/2016,0.37%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Ethiopia commits to reduce GHG emisssions by 14% (unconditional) and 68.8% (conditional) by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Ethiopia%27s updated NDC JULY 2021 Submission_.pdf"">Ethiopia First NDC (Updated submission)</a>",7/23/2021,,,,,,,,,,,,,,,
European Union (27),EUU,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,6.33%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC</a>",12/17/2020," In Law (6/30/2021)<br>In Policy Document (3/6/2020, 12/18/2020)",Net-zero Target in Law,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Poland%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC</a> (12/18/2020); <a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1588581905912&uri=CELEX:52020PC0080"">European Climate Law</a> (6/30/2021)<br><a href=""https://unfccc.int/sites/default/files/resource/HR-03-06-2020%20EU%20Submission%20on%20Long%20term%20strategy.pdf"">Long-term low greenhouse gas emission development strategy of the European Union and its Member States</a> (3/6/2020)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Not Included,International Offsets Not Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Federated States of Micronesia,FSM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/17/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/15/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Micronesia commits to non-GHG targets related to energy security, short-lived climate pollutants, food security, water security, ecosystems management, resilient transport, public health, and emergency response.  ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-10/Updated_NDC_of_the_Federated_States_of_Micronesia.pdf"">Updated Nationally Determined Contribution of the Federated States of Micronesia</a>",10/17/2022,,,,,,,,,,,,,,,
Fiji,FJI,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/30/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Fiji commits to reduce energy CO2 emissions by 30% compared to BAU by 2030, and to achieve net zero GHG emissions by 2050.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Republic of Fiji%27s Updated NDC 20201.pdf"">Republic of Fiji First NDC (Updated submission)</a> ",12/30/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Fiji%20First/Republic%20of%20Fiji's%20Updated%20NDC%2020201.pdf"">Fiji’s Updated Nationally Determined Contribution</a> (12/30/2020);<br><a href=""https://unfccc.int/sites/default/files/resource/Fiji_Low%20Emission%20Development%20%20Strategy%202018%20-%202050.pdf"">Fiji Low Emissions Development Strategy: 2018-2050</a> (2/25/2019)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Finland,FIN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/14/2016,,Yes,Yes,4/22/2016,0.12%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Finland)</a>",12/17/2020,In Law (5/25/2022); In Policy Document (6/6/2019),Net-zero Target in Law,"<a href=""https://www.ecowatch.com/finland-carbon-negative-emissions-pledge.html"">Climate Change Act</a> (5/25/2022) <br><a href=""https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161664/Inclusive%2520and%2520competent%2520Finland_2019.pdf?sequence=7&isAllowed=y"">Programme of Prime Minister Antti Rinne’s Government 6 June 2019</a> (6/6/2019); <br><a href=""https://unfccc.int/sites/default/files/resource/LTS_Finland_Oct2020.pdf"">Finland's long-term low greenhouse gas emission development strategy</a> (10/6/2020)",2035,Target Year Before 2050,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only,Net Target Only
France,FRA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,0.71%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (France)</a>",12/17/2020,In Policy Document (2/8/2021)<br>In Law (4/30/2019),Net-zero Target in Law,"<a href=""https://unfccc.int/sites/default/files/resource/en_SNBC-2_complete.pdf"">National Low Carbon Strategy</a> (2/8/2021); <br><a href=""http://www.assemblee-nationale.fr/dyn/15/textes/l15b1908_projet-loi"">National Assembly Constitution of 4 October 1958 Fifteenth Legislature</a> (4/30/2019)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Not Included,International Offsets Not Included,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only,Net Target Only
Gabon,GAB,2020 NDC (Second NDC),New or Updated NDC,First NDC,Second NDC,Second NDC,7/6/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/2/2016,,Yes,Yes,4/22/2016,0.04%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Gabon commits to remaining carbon neutral beyond 2050 (unconditional), and subject to support, to do everything possible to maintain its net removals at a level of 100 million tCO2eq per year beyond 2050.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-07/20220706_Gabon_Updated NDC.pdf"">Seconde Contribution Déterminée au Niveau National (République Gabonaise)</a>",7/6/2022,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-07/20220706_Gabon_Updated%20NDC.pdf"">Second Nationally Determined Contribution</a> (7/6/2022)",Already achieved and commit to maintain,Not Applicable,All GHGs Covered,All GHGs Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Gambia,GMB,2020 NDC (Second NDC),New or Updated NDC,First NDC,Second NDC,Second NDC,9/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/7/2016,,Yes,Yes,4/26/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Gambia commits to reduce GHG emissions by 49.7% by 2030 compared to BAU through mitigation measures. ,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Second NDC of The Republic of The Gambia-16-12-2021.pdf"">Gambia Second NDC</a>",9/12/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/Long_Term_Climate_Change_Strategy_of_The_Gambia_Final.pdf"">The Gambia`s Long-Term Climate-Neutral Development Strategy 2050</a> (9/22/2022); <a href=""https://ndpp.gm/wp-content/uploads/2021/08/The-Gambia-2050-Climate-Vision-MECCNAR.pdf"">The Gambia 2050 Climate Vision</a> (3/1/2021)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Georgia,GEO,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,5/9/2017,,Yes,Yes,4/22/2016,0.04%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Georgia commits to reduce GHG emissions by 35% (unconditional) and 50%-57% (conditional) by 2030, compared to 1990 level.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC Georgia_ENG WEB-approved.pdf"">Georgia First NDC (Updated submission)</a>",5/5/2021,,,,,,,,,,,,,,,
Germany,DEU,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,1.45%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Germany)</a>",12/17/2020,In Policy Document (11/2/22)<br>In Law (5/5/2021)<br>In Political Pledge (5/14/2019 and 5/5/2021),Net-zero Target in Law,"<a href=""https://unfccc.int/sites/default/files/resource/Anlage%202_Update%20to%20the%20long-term%20strategy%20for%20climate%20action%20of%20the%20Federal%20Republic%20of%20Germany_02Nov2022_0.pdf"">Update to the long-term strategy for climate action of the Federal Republic of Germany</a> (11/2/22); <a href=""https://www.dpa-international.com/topic/ministers-set-target-germany-climate-neutral-2045-urn%3Anewsml%3Adpa.com%3A20090101%3A210505-99-477365"">Political Pledge</a> (5/5/2021); <br><a href=""https://www.bmu.de/fileadmin/Daten_BMU/Download_PDF/Glaeserne_Gesetze/19._Lp/ksg_aendg/Entwurf/ksg_aendg_bf.pdf"">Amended Federal Climate Protection Act</a> (05/05/2021); <br><a href=""https://www.climatechangenews.com/2019/05/14/merkel-pledges-make-germany-carbon-neutral-2050/"">Merkel pledges to make Germany carbon neutral by 2050</a> (5/14/2019)",2045,Target Year Before 2050,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,International Shipping and Aviation Not Included,International Shipping and Aviation Not Included,Net Target Only,Net Target Only
Ghana,GHA,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,11/4/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.03%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Ghana commits to implementing 34 mitigation measures (9 unconditional, 25 conditional) to achieve an absolute reduction in emissions of 64 MtCO2e compared to 2020-2030 cumulative emissions by 2030.  ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Ghana%27s Updated Nationally Determined Contribution to the UNFCCC_2021.pdf"">Ghana First NDC (Updated submission)</a>",11/4/2021,,,,,,,,,,,,,,,
Greece,GRC,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/14/2016,,Yes,Yes,4/22/2016,0.16%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020.pdf"">EU Updated First NDC (Greece)</a>",12/17/2020,In Law,Net-zero Target in Law,"<a href=""https://www.enterprisegreece.gov.gr/newsletters/newsletter-articles/new-greek-climate-law-aims-for-zero-net-emissions-by-2050"">New Greek climate law aims for zero net emissions by 2050</a> (05/26/2022)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Grenada,GRD,2020 NDC (Second NDC),New or Updated NDC,First NDC,Second NDC,Second NDC,11/30/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,4/22/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Grenada commits to reducing its GHG emissions by 40% of the 2010 emissions levels by 2030.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/GrenadaSecondNDC2020 - 01-12-20.pdf"">Grenada Second Nationally Determined Contribution</a>",11/30/2020,,,,,,,,,,,,,,,
Guatemala,GTM,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/23/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/25/2017,,Yes,Yes,4/22/2016,0.08%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,Guatemala commits to reducing its emissions by 11.2% (unconditional) and by 22.6% (conditional) by 2030 compared to BAU. ,"<a href=""https://unfccc.int/sites/default/files/2022-06/NDC - Guatemala 2021.pdf"">Guatemala First NDC (Updated submission)</a>",5/23/2022,,,,,,,,,,,,,,,
Guinea,GIN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/28/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.08%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,The Republic of Guinea commits to reduce GHG Emissions by 9.7% (unconditional) and 17% (conditional) by 2030 compared to BAU.,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/CDN GUINEE 2021_REVISION_VF.pdf"">Guinea First NDC (Updated submission)</a> ",7/28/2021,,,,,,,,,,,,,,,
Guinea Bissau,GNB,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/22/2018,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Guinea Bissau commits to reducing its emissions by 10% by 2030 compared to BAU (unconditional), and by 30% by 2030 compared to BAU (conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC-Guinea Bissau-12102021.Final.pdf"">Guinea Bissau First NDC (Updated submission)</a>",10/12/2021,,,,,,,,,,,,,,,
Guyana,GUY,Only First NDC,Only First NDC,,First NDC,First NDC,5/20/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,5/20/2016,,Yes,Yes,4/22/2016,0.04%,,,,,,,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://dpi.gov.gy/guyana-in-full-support-of-net-zero-by-2050/"">Vice Presidential announcement</a> (4/22/2021)",Already achieved and commit to maintain,Not Applicable,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Haiti,HTI,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,6/1/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,7/31/2017,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Haiti commits to reducing its GHG emissions by 6.32% (unconditional) and by 25.5% (conditional) compared to the BAU scenario by 2030. ,"<a href=""hhttps://unfccc.int/sites/default/files/NDC/2022-06/CDN Revisee Haiti 2022.pdf"">Haiti First NDC (Updated submission)</a>",6/1/2022,,,,,,,,,,,,,,,
Honduras,HND,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,5/19/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.06%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Honduras commits to reduce emissions by 16% (excluding LULUCF) by 2030, compared to the BAU scenario, along with sectoral non-GHG targets.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC de Honduras_ Primera Actualizaci%C3%B3n.pdf"">Honduras First NDC (Updated submission)</a>",5/19/2021,,,,,,,,,,,,,,,
Hungary,HUN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,0.13%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/LV-03-06-EU INDC.pdf"">EU Updated First NDC (Hungary)</a>",12/17/2020,In Law,Net-zero Target in Law,"<a href=""https://www.parlament.hu/irom41/07021/07021-0010.pdf"">Climate Ambition Alliance: Net Zero 2050</a> (5/14/2020)",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Iceland,ISL,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,2/18/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.01%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Iceland commits to reduce emissions by at least 55% by 2030 compared to 1990, acting jointly with the EU and its Member States.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Iceland_updated_NDC_Submission_Feb_2021.pdf"">Iceland First NDC (Updated submission)</a>",2/18/2021,"In Law (6/25/2021);<br>In Policy Document (2/18/2021, 10/28/2021)",Net-zero Target in Law,"<a href=""https://unfccc.int/sites/default/files/resource/Iceland_LTS1_2021.pdf"">Iceland’s Long-Term Low Emission Development Strategy</a> (10/28/21); <a href=""https://www.althingi.is/altext/stjt/2021.095.html"">Climate Act 2021</a> (6/5/2021); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Iceland%20First/Iceland_updated_NDC_Submission_Feb_2021.pdf"">Update of the Nationally Determined Contribution of Iceland </a> (2/18/2021); <br><a href=""https://www.government.is/lisalib/getfile.aspx?itemid=5b3c6c45-f326-11e8-942f-005056bc4d74"">Iceland’s Climate Action Plan for 2018-2030</a> (9/1/2018)",2040,Target Year Before 2050,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
India,IND,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,8/26/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/2/2016,,Yes,Yes,4/22/2016,6.76%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"India commits to reducing its emissions intensity by 45% by 2030 compared to 2005 levels. India also commits to achieving 50% cumulative electric power installed capacity from non-fossil fuel-based energy by 2030, and to create a carbon sink of 2.5 to 3 billion tons of CO2 equivalent through additional forest and tree cover by 2030. ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-08/India%20Updated%20First%20Nationally%20Determined%20Contrib.pdf"">India Updated First Nationally Determined Contribution</a>",8/26/2022,"In Policy Document (8/26/2022, 11/14/2022)<br>In Political Pledge (11/1/2021)",Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/India_LTLEDS.pdf"">India's Long-Term Low-Carbon Development Strategy</a> (11/14/22); <a href=""https://unfccc.int/sites/default/files/NDC/2022-08/India%20Updated%20First%20Nationally%20Determined%20Contrib.pdf"">India’s Updated First Nationally Determined Contribution Under Paris Agreement</a> (8/26/2022)<br><a href=""https://unfccc-cop26.streamworld.de/webcast/national-statements"">Speech during COP26 World Leaders Summit</a> (11/1/2021) ",2070,Target Year After 2050,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
Indonesia,IDN,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,9/23/2022,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/31/2016,,Yes,Yes,4/22/2016,3.94%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Indonesia commits to reducing its emissions by 31.89% below BAU by 2030 (unconditional), and by 43.2% below BAU by 2030 (conditional). ","<a href=""https://unfccc.int/sites/default/files/NDC/2022-09/23.09.2022_Enhanced%20NDC%20Indonesia.pdf"">Enhanced NDC - Republic of Indonesia</a>",9/23/2022,In Policy Document ,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/NDC/2022-09/23.09.2022_Enhanced%20NDC%20Indonesia.pdf"">Enhanced Nationally Determined Contribution - Republic of Indonesia </a> (9/23/2022)",2060,Target Year After 2050,Partial GHG Coverage,Partial GHG Coverage,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Iran,IRN,Only INDC,Only INDC,,INDC,INDC,11/21/2015,INDC Submitted,INDC Submitted,Signed Agreement,Signed Agreement,No,No,,,Yes,Yes,4/22/2016,1.80%,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,2020 NDC (First NDC),New or Updated NDC,INDC,First NDC,First NDC,10/15/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/1/2021,,Yes,Yes,12/8/2016,0.65%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Iraq commits to sectoral measures in energy, industry, agriculture, water and housing sectors.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/Iraq NDC Document.docx"">Iraq First NDC</a>",10/15/2021,,,,,,,,,,,,,,,
Ireland,IRL,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/4/2016,,Yes,Yes,4/22/2016,0.12%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December 2020_0.pdf"">EU Updated First NDC (Ireland)</a>",12/17/2020,In Law (8/30/2021); In Policy Document (6/17/2019),Net-zero Target in Law,"<a href=""https://www.gov.ie/en/press-release/9336b-irelands-ambitious-climate-act-signed-into-law/"">Ireland’s ambitious Climate Act signed into law</a> (8/30/2021)<br><a href=""https://www.gov.ie/pdf/?file=https://assets.gov.ie/42213/752d5346b9c6407b9125fdadfa0738a4.pdf#page=1"">Climate Action Plan 2019</a> (6/17/2019)",2050,2050 as Target Year,All GHGs Covered,All GHGs Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,"Unclear or Undecided for international shipping, international aviation not included. ",Unclear or Undecided,Net Target Only,Net Target Only
Israel,ISR,2020 NDC (Updated First NDC),New or Updated NDC,First NDC,Updated First NDC,Updated First NDC,7/29/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/22/2016,,Yes,Yes,4/22/2016,0.18%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Israel commits to reduce GHG emissions by 27% by 2030, and 85% by 2050 compared to 2015 levels.","<a href=""https://unfccc.int/sites/default/files/NDC/2022-06/NDC update as submitted to the UNFCCC.docx"">Israel First NDC (Updated submission)</a>",7/29/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://unfccc-cop26.streamworld.de/webcast/first-part-of-the-high-level-segment-for-heads-of-"">Speech during COP26 World Leaders Summit</a> (11/1/2021) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only ,Net Target Only 
